epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1004.23,0.26468,0.2103,0.80798,1,0.99901,0.995,0.96758,0.27336,0.19139,0.82899,0.0003368,0.0003368,0.0003368
128,1012.26,0.25948,0.20805,0.8117,0.9995,1,0.995,0.9705,0.27175,0.19043,0.82585,0.0003236,0.0003236,0.0003236
129,1020.38,0.26668,0.20646,0.81377,0.99818,1,0.995,0.96561,0.27231,0.1871,0.82681,0.0003104,0.0003104,0.0003104
130,1028.38,0.25812,0.20247,0.81415,1,0.99988,0.995,0.96954,0.27171,0.18678,0.82843,0.0002972,0.0002972,0.0002972
131,1036.49,0.25716,0.20342,0.81095,0.99937,1,0.995,0.96877,0.27539,0.18925,0.82775,0.000284,0.000284,0.000284
132,1044.59,0.26158,0.20355,0.81036,0.99926,1,0.995,0.97092,0.27241,0.18468,0.83155,0.0002708,0.0002708,0.0002708
133,1052.6,0.26253,0.2024,0.80975,0.99971,1,0.995,0.97137,0.2716,0.18355,0.82907,0.0002576,0.0002576,0.0002576
134,1060.47,0.2536,0.20409,0.8063,0.99909,1,0.995,0.96937,0.27219,0.17962,0.8281,0.0002444,0.0002444,0.0002444
135,1068.37,0.25796,0.20203,0.80916,0.99906,1,0.995,0.9728,0.26372,0.18059,0.82548,0.0002312,0.0002312,0.0002312
136,1076.48,0.26085,0.20013,0.81066,0.99958,1,0.995,0.9705,0.26617,0.18083,0.82585,0.000218,0.000218,0.000218
137,1084.38,0.26115,0.19746,0.81095,0.99979,1,0.995,0.97011,0.26513,0.17753,0.82473,0.0002048,0.0002048,0.0002048
138,1092.3,0.25217,0.19583,0.81011,1,0.99995,0.995,0.97376,0.26431,0.17777,0.82347,0.0001916,0.0001916,0.0001916
139,1100.24,0.25445,0.1962,0.80852,0.9999,1,0.995,0.97191,0.26819,0.1777,0.82381,0.0001784,0.0001784,0.0001784
140,1108.08,0.24713,0.19198,0.80062,0.99953,1,0.995,0.97434,0.26615,0.17454,0.828,0.0001652,0.0001652,0.0001652
141,1127.44,0.20837,0.17026,0.77594,0.99917,1,0.995,0.96938,0.2726,0.17939,0.8263,0.000152,0.000152,0.000152
142,1135.22,0.20647,0.16735,0.77413,0.99529,1,0.995,0.97122,0.27308,0.18148,0.8269,0.0001388,0.0001388,0.0001388
143,1143.13,0.20427,0.16658,0.76733,0.99535,1,0.995,0.97102,0.26944,0.18291,0.82558,0.0001256,0.0001256,0.0001256
144,1150.99,0.20523,0.16767,0.77071,0.99545,1,0.995,0.97296,0.26951,0.17992,0.82204,0.0001124,0.0001124,0.0001124
145,1158.82,0.2052,0.16551,0.76871,0.99555,1,0.995,0.97277,0.26714,0.17759,0.82058,9.92e-05,9.92e-05,9.92e-05
146,1166.57,0.20057,0.16363,0.7602,0.99564,1,0.995,0.97071,0.26082,0.17662,0.81926,8.6e-05,8.6e-05,8.6e-05
147,1174.32,0.20328,0.16347,0.77688,0.99564,1,0.995,0.97218,0.26225,0.17894,0.82069,7.28e-05,7.28e-05,7.28e-05
148,1182.2,0.20057,0.1658,0.77629,0.99765,1,0.995,0.97258,0.26177,0.17609,0.82286,5.96e-05,5.96e-05,5.96e-05
149,1190.03,0.19536,0.15876,0.77253,0.99569,1,0.995,0.97386,0.26079,0.17373,0.82273,4.64e-05,4.64e-05,4.64e-05
150,1197.77,0.20021,0.15878,0.78136,0.99603,1,0.995,0.97462,0.2607,0.17146,0.8229,3.32e-05,3.32e-05,3.32e-05
