epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,1036.47,0.2814,0.20932,0.82114,1,0.99867,0.995,0.97568,0.27544,0.18927,0.82113,0.00068,0.00068,0.00068
102,1046.61,0.27094,0.21383,0.81018,0.9993,1,0.995,0.97392,0.27243,0.1896,0.82055,0.0006668,0.0006668,0.0006668
103,1056.82,0.27186,0.20971,0.81365,0.99973,1,0.995,0.97498,0.28,0.18982,0.82661,0.0006536,0.0006536,0.0006536
104,1066.97,0.26664,0.21102,0.81409,0.99561,1,0.995,0.97373,0.26709,0.17687,0.82918,0.0006404,0.0006404,0.0006404
105,1077.12,0.27223,0.20767,0.82599,0.99975,1,0.995,0.97499,0.27557,0.18437,0.82095,0.0006272,0.0006272,0.0006272
106,1087.31,0.27341,0.21011,0.81383,0.99975,1,0.995,0.97564,0.27214,0.18543,0.81742,0.000614,0.000614,0.000614
107,1097.52,0.25943,0.2034,0.80873,0.99543,1,0.995,0.97824,0.25896,0.18206,0.81826,0.0006008,0.0006008,0.0006008
108,1107.77,0.26891,0.20566,0.81544,0.99635,1,0.995,0.97565,0.2746,0.18318,0.82695,0.0005876,0.0005876,0.0005876
109,1117.96,0.26928,0.20454,0.80883,0.99896,1,0.995,0.97419,0.27216,0.17899,0.82019,0.0005744,0.0005744,0.0005744
110,1128.14,0.26656,0.20302,0.81477,0.99772,1,0.995,0.97609,0.26871,0.17435,0.82596,0.0005612,0.0005612,0.0005612
111,1138.32,0.26103,0.19699,0.80711,0.99532,1,0.995,0.97587,0.27621,0.18254,0.82477,0.000548,0.000548,0.000548
112,1148.53,0.25702,0.19956,0.81517,0.9997,1,0.995,0.97456,0.27156,0.18258,0.82111,0.0005348,0.0005348,0.0005348
113,1158.74,0.25609,0.20431,0.81237,0.99569,0.99915,0.995,0.97529,0.27165,0.18506,0.82706,0.0005216,0.0005216,0.0005216
114,1169.02,0.26247,0.20282,0.81175,0.99975,1,0.995,0.97607,0.27495,0.17591,0.83314,0.0005084,0.0005084,0.0005084
115,1179.21,0.25918,0.19986,0.81186,0.99545,1,0.995,0.97291,0.27098,0.17812,0.83177,0.0004952,0.0004952,0.0004952
116,1189.43,0.2604,0.20043,0.8114,0.99545,1,0.995,0.97629,0.26433,0.17482,0.83231,0.000482,0.000482,0.000482
117,1199.61,0.23996,0.18491,0.80186,0.99552,1,0.995,0.97504,0.26239,0.17567,0.82712,0.0004688,0.0004688,0.0004688
118,1209.8,0.25763,0.19877,0.81218,0.99979,1,0.995,0.97589,0.27249,0.17693,0.82845,0.0004556,0.0004556,0.0004556
119,1219.98,0.2541,0.19878,0.8113,0.99977,1,0.995,0.97622,0.26004,0.17267,0.82495,0.0004424,0.0004424,0.0004424
120,1230.19,0.25454,0.19452,0.81254,0.99706,1,0.995,0.97786,0.25963,0.17374,0.82457,0.0004292,0.0004292,0.0004292
121,1240.34,0.24401,0.1893,0.81036,0.9955,1,0.995,0.97439,0.262,0.17292,0.83362,0.000416,0.000416,0.000416
122,1250.57,0.2464,0.19033,0.8069,0.99974,1,0.995,0.97578,0.26108,0.17363,0.82873,0.0004028,0.0004028,0.0004028
123,1260.77,0.25465,0.19069,0.81472,0.99949,1,0.995,0.97691,0.26213,0.17011,0.82808,0.0003896,0.0003896,0.0003896
124,1270.96,0.24815,0.18837,0.81042,0.99975,1,0.995,0.97401,0.26626,0.17114,0.83049,0.0003764,0.0003764,0.0003764
125,1281.19,0.25076,0.19348,0.80939,0.99973,1,0.995,0.97499,0.26464,0.16955,0.82567,0.0003632,0.0003632,0.0003632
126,1291.37,0.24584,0.19116,0.8073,0.9998,1,0.995,0.97447,0.26414,0.16941,0.82626,0.00035,0.00035,0.00035
127,1301.56,0.24266,0.18093,0.8072,0.99979,1,0.995,0.97554,0.26904,0.16596,0.83198,0.0003368,0.0003368,0.0003368
128,1311.76,0.24335,0.18212,0.80924,0.99978,1,0.995,0.97568,0.25562,0.16655,0.82508,0.0003236,0.0003236,0.0003236
129,1321.91,0.23816,0.17807,0.8108,0.99976,1,0.995,0.97208,0.26027,0.1678,0.82379,0.0003104,0.0003104,0.0003104
130,1332.13,0.23116,0.17591,0.80751,0.99568,1,0.995,0.97391,0.26239,0.16848,0.82585,0.0002972,0.0002972,0.0002972
131,1342.35,0.23538,0.17933,0.80831,0.99545,1,0.995,0.97556,0.2567,0.16185,0.82503,0.000284,0.000284,0.000284
132,1352.56,0.23291,0.17547,0.8029,0.99547,1,0.995,0.97671,0.25631,0.16421,0.82568,0.0002708,0.0002708,0.0002708
133,1362.74,0.24207,0.17665,0.80934,0.99977,1,0.995,0.97665,0.2583,0.1647,0.82639,0.0002576,0.0002576,0.0002576
134,1372.99,0.23507,0.17835,0.80426,0.99977,1,0.995,0.97807,0.24994,0.16195,0.82592,0.0002444,0.0002444,0.0002444
135,1383.19,0.23182,0.17379,0.80716,0.99979,1,0.995,0.97845,0.24759,0.16161,0.82235,0.0002312,0.0002312,0.0002312
136,1393.45,0.2353,0.17478,0.80973,0.99548,1,0.995,0.97921,0.25321,0.15978,0.82479,0.000218,0.000218,0.000218
137,1403.7,0.23539,0.17311,0.80747,0.99979,1,0.995,0.97621,0.24874,0.1594,0.82718,0.0002048,0.0002048,0.0002048
138,1413.9,0.22863,0.17168,0.80614,0.99978,1,0.995,0.97488,0.25899,0.16357,0.8287,0.0001916,0.0001916,0.0001916
139,1424.11,0.23163,0.16993,0.80384,0.99979,1,0.995,0.97702,0.26243,0.16013,0.83163,0.0001784,0.0001784,0.0001784
140,1434.33,0.22395,0.16719,0.79521,0.99974,1,0.995,0.97752,0.24977,0.15596,0.82828,0.0001652,0.0001652,0.0001652
141,1456.14,0.18627,0.14028,0.77111,0.99969,1,0.995,0.97811,0.25367,0.16569,0.82964,0.000152,0.000152,0.000152
142,1466.3,0.18682,0.14452,0.773,0.99569,0.99893,0.99496,0.97739,0.24874,0.1621,0.82502,0.0001388,0.0001388,0.0001388
143,1476.48,0.18136,0.14259,0.76827,0.99974,1,0.995,0.97751,0.25418,0.16193,0.82927,0.0001256,0.0001256,0.0001256
144,1486.78,0.184,0.14139,0.77101,0.99615,1,0.995,0.97736,0.25698,0.15972,0.83187,0.0001124,0.0001124,0.0001124
145,1496.88,0.18093,0.13733,0.7671,0.99809,1,0.995,0.97917,0.25449,0.15809,0.82862,9.92e-05,9.92e-05,9.92e-05
146,1506.95,0.18092,0.13755,0.7607,0.99874,1,0.995,0.97924,0.25236,0.15896,0.82728,8.6e-05,8.6e-05,8.6e-05
147,1517.17,0.18158,0.13841,0.77832,0.99905,1,0.995,0.98091,0.25071,0.15434,0.82728,7.28e-05,7.28e-05,7.28e-05
148,1527.4,0.18075,0.1377,0.77298,0.99935,1,0.995,0.98,0.25243,0.15339,0.82684,5.96e-05,5.96e-05,5.96e-05
149,1537.56,0.17862,0.13579,0.77023,0.9995,1,0.995,0.97858,0.24918,0.15751,0.8267,4.64e-05,4.64e-05,4.64e-05
150,1547.66,0.17635,0.13321,0.78047,0.99944,1,0.995,0.98066,0.24742,0.15402,0.82611,3.32e-05,3.32e-05,3.32e-05
